FIPSCode,Jurisdiction_Name,State_Abbr,A1a,A1b,A9a,A9b,A9c,A9d,A9e,A9f,A9g
0100100000,AUTAUGA COUNTY,AL,39770,36391,2678,592,774,59,862,0,6
0100300000,BALDWIN COUNTY,AL,155127,141301,14145,3221,3712,137,5770,0,22
0100500000,BARBOUR COUNTY,AL,17323,15871,1409,314,496,67,418,0,0
0100700000,BIBB COUNTY,AL,14244,13245,886,141,411,59,164,0,0
0100900000,BLOUNT COUNTY,AL,39687,37352,2350,323,1022,296,249,0,0
0101100000,BULLOCK COUNTY,AL,7472,6772,469,95,236,22,74,0,0
0101300000,BUTLER COUNTY,AL,14079,13161,1084,178,403,45,406,0,0
0101500000,CALHOUN COUNTY,AL,76168,69851,5844,1347,2132,455,1149,7,6
0101700000,CHAMBERS COUNTY,AL,24367,22474,2214,526,610,155,526,1,0
0101900000,CHEROKEE COUNTY,AL,17893,16808,1196,392,500,93,152,1,0
0102100000,CHILTON COUNTY,AL,28694,26080,2053,304,767,310,473,0,2
0102300000,CHOCTAW COUNTY,AL,10886,9935,1013,250,341,34,335,0,0
0102500000,CLARKE COUNTY,AL,19542,17897,1264,290,543,36,240,0,1
0102700000,CLAY COUNTY,AL,10067,9498,1001,67,310,44,447,1,0
0102900000,CLEBURNE COUNTY,AL,10929,9635,1059,156,257,172,324,0,0
0103100000,COFFEE COUNTY,AL,34121,30687,2746,823,813,79,790,1,4
0103300000,COLBERT COUNTY,AL,40780,38087,2378,497,1096,136,496,0,2
0103500000,CONECUH COUNTY,AL,10381,9296,694,112,314,60,101,4,0
0103700000,COOSA COUNTY,AL,8219,7506,532,94,244,52,82,0,0
0103900000,COVINGTON COUNTY,AL,26829,24396,1951,339,793,188,288,4,1
0104100000,CRENSHAW COUNTY,AL,10340,9450,589,120,290,14,121,0,0
0104300000,CULLMAN COUNTY,AL,58302,54465,4033,653,1585,184,1009,3,1
0104500000,DALE COUNTY,AL,33017,29544,2897,1205,791,129,597,0,1
0104700000,DALLAS COUNTY,AL,31886,29076,3064,486,986,266,1107,2,1
0104900000,DEKALB COUNTY,AL,42123,39369,3138,518,1172,65,1230,3,1
0105100000,ELMORE COUNTY,AL,56404,52788,3469,868,1187,181,731,3,5
0105300000,ESCAMBIA COUNTY,AL,25690,23458,1997,412,606,138,377,0,5
0105500000,ETOWAH COUNTY,AL,72371,67705,5290,829,2049,206,1209,46,1
0105700000,FAYETTE COUNTY,AL,12759,11994,760,146,425,45,102,0,2
0105900000,FRANKLIN COUNTY,AL,18631,17904,2233,318,589,148,1048,2,1
0106100000,GENEVA COUNTY,AL,18716,17312,1314,300,547,125,275,0,0
0106300000,GREENE COUNTY,AL,7117,6568,572,98,241,58,57,0,0
0106500000,HALE COUNTY,AL,12298,11311,786,165,335,44,94,0,0
0106700000,HENRY COUNTY,AL,13169,12309,1032,299,406,41,150,4,4
0106900000,HOUSTON COUNTY,AL,74554,66714,5751,2425,1595,394,760,4,2
0107100000,JACKSON COUNTY,AL,37767,34708,2365,612,1055,107,516,0,3
0107300000,JEFFERSON COUNTY,AL,480982,445966,22943,4595,10121,1173,5573,0,37
0107500000,LAMAR COUNTY,AL,10914,9808,758,175,346,32,123,0,3
0107700000,LAUDERDALE COUNTY,AL,63719,58303,3569,934,1641,115,707,0,4
0107900000,LAWRENCE COUNTY,AL,24452,22950,1593,193,671,97,268,0,0
0108100000,LEE COUNTY,AL,112125,100963,7673,3303,1313,280,1883,3,3
0108300000,LIMESTONE COUNTY,AL,63148,59941,4209,1121,1312,176,956,0,1
0108500000,LOWNDES COUNTY,AL,10282,9399,643,148,246,32,153,0,0
0108700000,MACON COUNTY,AL,17670,15301,2135,786,419,86,166,0,8
0108900000,MADISON COUNTY,AL,268929,242009,26711,6594,4670,278,14757,7,22
0109100000,MARENGO COUNTY,AL,16187,14277,1184,312,502,53,178,0,3
0109300000,MARION COUNTY,AL,20968,19207,1520,363,656,22,319,4,2
0109500000,MARSHALL COUNTY,AL,59395,55326,3573,751,1585,368,707,2,1
0109700000,MOBILE COUNTY,AL,296298,252542,19015,4785,6517,656,4973,62,50
0109900000,MONROE COUNTY,AL,16548,14942,1359,232,461,174,256,0,1
0110100000,MONTGOMERY COUNTY,AL,157918,144317,,,,,,,
0110300000,MORGAN COUNTY,AL,79900,75334,5114,1360,2031,244,1269,15,7
0110500000,PERRY COUNTY,AL,8268,7650,607,106,261,96,114,0,1
0110700000,PICKENS COUNTY,AL,14127,13198,1016,288,350,50,220,0,1
0110900000,PIKE COUNTY,AL,22711,20047,1974,459,474,58,676,1,0
0111100000,RANDOLPH COUNTY,AL,17348,15848,1542,582,415,79,225,0,2
0111300000,RUSSELL COUNTY,AL,38425,34373,4010,1540,869,259,1067,1,4
0111500000,ST. CLAIR COUNTY,AL,62138,58840,4100,755,1460,87,979,3,1
0111700000,SHELBY COUNTY,AL,149478,139626,10611,4572,2283,137,3107,6,4
0111900000,SUMTER COUNTY,AL,10047,8701,737,276,284,11,102,0,0
0112100000,TALLADEGA COUNTY,AL,55408,51512,4738,686,1438,95,1652,0,3
0112300000,TALLAPOOSA COUNTY,AL,30601,27948,2599,597,980,151,546,0,0
0112500000,TUSCALOOSA COUNTY,AL,138882,125158,10343,3722,2544,92,3441,2,12
0112700000,WALKER COUNTY,AL,47717,43910,3179,450,1618,111,568,0,1
0112900000,WASHINGTON COUNTY,AL,13462,12365,1385,166,303,61,752,0,0
0113100000,WILCOX COUNTY,AL,9407,8591,550,122,295,37,67,1,0
0113300000,WINSTON COUNTY,AL,16176,15031,1981,210,563,80,1012,1,4
0200000000,ALASKA,AK,624467,571851,51737,4450,7997,1094,30585,0,7611
6000000000,AMERICAN SAMOA,AS,15527,8462,2678,0,106,0,2572,0,0
0400100000,APACHE COUNTY,AZ,54880,49909,4930,1976,1145,242,1414,3,4
0400300000,COCHISE COUNTY,AZ,87235,70854,8539,4412,2308,399,1262,22,Does not apply
0400500000,COCONINO COUNTY,AZ,98739,83239,15114,8440,1460,445,4748,10,11
0400700000,GILA COUNTY,AZ,37034,29601,4539,2670,1393,267,1,8,11
0400900000,GRAHAM COUNTY,AZ,21156,17906,2903,1295,548,199,825,5,31
0401100000,GREENLEE COUNTY,AZ,5045,4535,872,466,105,51,232,3,5
0401200000,LA PAZ COUNTY,AZ,12014,10048,1678,483,504,107,565,2,9
0401300000,MARICOPA COUNTY,AZ,2557282,2254596,223369,37871,50846,13940,100371,389,16172
0401500000,MOHAVE COUNTY,AZ,151948,116346,13761,6283,6530,759,0,43,89
0401700000,NAVAJO COUNTY,AZ,73098,62671,7209,4503,2033,396,12,23,61
0401900000,PIMA COUNTY,AZ,644066,557532,59734,9990,12365,2210,24765,Data not available,9854
0402100000,PINAL COUNTY,AZ,226812,202768,47367,16656,5097,1600,22840,36,497
0402300000,SANTA CRUZ COUNTY,AZ,30771,28238,2075,1437,477,106,Does not apply,2,8
0402500000,YAVAPAI COUNTY,AZ,162485,140108,38880,9531,4784,951,23301,52,107
0402700000,YUMA COUNTY,AZ,114326,87273,6731,3407,2478,493,19,25,86
0500100000,ARKANSAS COUNTY,AR,10161,8115,872,51,279,29,467,0,4
0500300000,ASHLEY COUNTY,AR,12719,9880,652,130,399,81,0,0,6
0500500000,BAXTER COUNTY,AR,29640,24889,2377,198,881,90,1150,2,13
0500700000,BENTON COUNTY,AR,159483,131687,5361,1837,2403,270,17,69,72
0500900000,BOONE COUNTY,AR,24077,20255,2975,154,623,37,1855,2,2
0501100000,BRADLEY COUNTY,AR,5476,4523,378,25,192,26,118,1,3
0501300000,CALHOUN COUNTY,AR,3424,2832,216,59,130,16,1,0,0
0501500000,CARROLL COUNTY,AR,16603,13937,1210,255,378,77,405,0,5
0501700000,CHICOT COUNTY,AR,6355,5140,507,37,187,36,219,0,6
0501900000,CLARK COUNTY,AR,12079,9700,1013,148,311,36,492,0,6
0502100000,CLAY COUNTY,AR,8234,6682,815,73,253,34,412,2,12
0502300000,CLEBURNE COUNTY,AR,18733,15353,846,235,489,50,36,3,2
0502500000,CLEVELAND COUNTY,AR,4922,4337,322,24,156,13,123,0,0
0502700000,COLUMBIA COUNTY,AR,14282,10691,737,110,303,50,249,0,4
0502900000,CONWAY COUNTY,AR,11294,9840,845,89,390,30,308,0,9
0503100000,CRAIGHEAD COUNTY,AR,56432,45976,8401,326,1008,184,6703,0,16
0503300000,CRAWFORD COUNTY,AR,34569,28786,2231,247,725,197,870,0,14
0503500000,CRITTENDEN COUNTY,AR,29531,20449,3062,218,232,98,2466,0,1
0503700000,CROSS COUNTY,AR,10575,8612,753,23,296,39,380,0,3
0503900000,DALLAS COUNTY,AR,4339,3632,120,10,95,2,0,0,1
0504100000,DESHA COUNTY,AR,6988,5865,1393,62,254,59,956,0,4
0504300000,DREW COUNTY,AR,11018,8466,334,29,227,39,0,1,4
0504500000,FAULKNER COUNTY,AR,75001,63199,8670,585,1181,350,5459,3,19
0504700000,FRANKLIN COUNTY,AR,9876,8285,748,36,254,62,359,2,6
0504900000,FULTON COUNTY,AR,7104,6406,605,221,144,9,195,0,12
0505100000,GARLAND COUNTY,AR,65899,53100,5402,356,1828,171,2928,8,15
0505300000,GRANT COUNTY,AR,11472,9356,507,134,244,43,0,0,10
0505500000,GREENE COUNTY,AR,21564,17988,961,73,521,103,182,1,2
0505700000,HEMPSTEAD COUNTY,AR,10692,8671,1791,77,309,93,1281,0,5
0505900000,HOT SPRING COUNTY,AR,18204,14958,2526,182,531,80,1714,0,3
0506100000,HOWARD COUNTY,AR,7237,5986,499,38,166,24,266,0,2
0506300000,INDEPENDENCE COUNTY,AR,21964,17566,1765,89,516,155,770,0,9
0506500000,IZARD COUNTY,AR,8097,6829,765,48,292,7,389,0,1
0506700000,JACKSON COUNTY,AR,8341,6568,722,21,254,41,394,0,2
0506900000,JEFFERSON COUNTY,AR,43092,32258,1469,167,1098,113,1,0,2
0507100000,JOHNSON COUNTY,AR,15490,11871,535,64,340,88,0,0,13
0507300000,LAFAYETTE COUNTY,AR,4265,3790,192,37,113,34,0,0,3
0507500000,LAWRENCE COUNTY,AR,9101,7140,389,46,312,16,0,0,2
0507700000,LEE COUNTY,AR,5015,4158,185,30,122,9,0,0,0
0507900000,LINCOLN COUNTY,AR,6168,4750,258,8,212,24,1,0,1
0508100000,LITTLE RIVER COUNTY,AR,7161,6063,470,40,203,17,188,0,4
0508300000,LOGAN COUNTY,AR,12288,10965,1530,79,326,60,1020,0,14
0508500000,LONOKE COUNTY,AR,45500,37644,2332,331,721,235,753,2,6
0508700000,MADISON COUNTY,AR,10096,8611,564,47,255,29,222,0,7
0508900000,MARION COUNTY,AR,10214,8806,975,152,353,22,425,0,5
0509100000,MILLER COUNTY,AR,27156,21287,1562,176,394,73,854,1,16
0509300000,MISSISSIPPI COUNTY,AR,22412,16871,904,149,625,84,0,0,5
0509500000,MONROE COUNTY,AR,4566,3744,209,28,155,22,0,0,1
0509700000,MONTGOMERY COUNTY,AR,4914,4222,407,31,186,6,177,0,3
0509900000,NEVADA COUNTY,AR,5683,4744,315,49,214,17,2,0,0
0510100000,NEWTON COUNTY,AR,6407,5764,312,49,210,17,2,0,0
0510300000,OUACHITA COUNTY,AR,16141,12267,1575,48,419,72,1005,0,3
0510500000,PERRY COUNTY,AR,6320,5458,512,95,167,30,198,0,9
0510700000,PHILLIPS COUNTY,AR,13052,8778,495,69,310,52,18,0,2
0510900000,PIKE COUNTY,AR,5486,4794,410,20,162,14,203,0,2
0511100000,POINSETT COUNTY,AR,12408,10068,1076,44,379,113,521,2,2
0511300000,POLK COUNTY,AR,11983,9857,1513,179,369,29,890,0,2
0511500000,POPE COUNTY,AR,34559,29138,2439,190,783,111,928,0,10
0511700000,PRAIRIE COUNTY,AR,4943,4340,316,29,121,29,102,0,4
0511900000,PULASKI COUNTY,AR,248101,198797,16887,1682,4810,1315,6939,0,37
0512100000,RANDOLPH COUNTY,AR,10527,8704,1004,55,306,23,499,0,2
0512300000,ST. FRANCIS COUNTY,AR,12415,9301,2205,25,289,42,1836,0,0
0512500000,SALINE COUNTY,AR,75824,64231,5066,334,1556,299,2755,0,31
0512700000,SCOTT COUNTY,AR,5154,4265,489,23,144,23,272,0,3
0512900000,SEARCY COUNTY,AR,5896,5157,265,21,159,12,51,2,1
0513100000,SEBASTIAN COUNTY,AR,71409,58073,9811,661,1559,371,6922,2,17
0513300000,SEVIER COUNTY,AR,6742,5777,562,23,195,6,318,0,14
0513500000,SHARP COUNTY,AR,11122,9271,1058,68,317,17,639,1,5
0513700000,STONE COUNTY,AR,8132,6651,357,63,251,28,0,0,7
0513900000,UNION COUNTY,AR,27756,23706,2013,85,509,166,1225,0,3
0514100000,VAN BUREN COUNTY,AR,10556,9008,602,102,322,19,136,0,3
0514300000,WASHINGTON COUNTY,AR,133455,108688,10670,1076,2336,251,6776,1,50
0514500000,WHITE COUNTY,AR,43955,37036,3308,220,990,235,1696,0,69
0514700000,WOODRUFF COUNTY,AR,4548,3800,193,4,107,16,0,0,1
0514900000,YELL COUNTY,AR,10443,8475,735,18,261,53,368,3,5
0600100000,ALAMEDA COUNTY,CA,1003541,881491,16550,1343,13896,403,16,0,40
0600300000,ALPINE COUNTY,CA,870,758,35,2,19,0,0,0,0
0600500000,AMADOR COUNTY,CA,26086,22305,1218,33,729,36,1,2,280
0600700000,BUTTE COUNTY,CA,148710,122741,6519,1697,3765,259,2,1,265
0600900000,CALAVERAS COUNTY,CA,33226,29591,1618,165,849,19,15,8,0
0601100000,COLUSA COUNTY,CA,8834,8761,489,36,185,7,218,1,2
0601300000,CONTRA COSTA COUNTY,CA,680375,621309,22719,3577,11663,453,1,1,706
0601500000,DEL NORTE COUNTY,CA,16000,14150,397,31,309,19,0,0,0
0601700000,EL DORADO COUNTY,CA,131902,121192,3430,181,2151,63,0,0,72
0601900000,FRESNO COUNTY,CA,520783,456891,30187,12185,9611,960,2,85,159
0602100000,GLENN COUNTY,CA,13337,12816,349,2,203,19,0,0,2
0602300000,HUMBOLDT COUNTY,CA,95627,78518,3441,165,1323,162,0,0,128
0602500000,IMPERIAL COUNTY,CA,101230,69728,2026,3,1467,43,9,0,0
0602700000,INYO COUNTY,CA,10934,10028,2037,2,296,13,Data not available,Data not available,Data not available
0602900000,KERN COUNTY,CA,432089,375759,33872,12573,7995,760,21,15,4494
0603100000,KINGS COUNTY,CA,60533,52631,1447,101,970,130,0,0,6
0603300000,LAKE COUNTY,CA,42928,32653,2135,100,1353,95,0,2,51
0603500000,LASSEN COUNTY,CA,16918,14332,705,77,333,7,Data not available,11,54
0603700000,LOS ANGELES COUNTY,CA,6858459,5280658,167340,19,110273,9604,734,30,571
0603900000,MADERA COUNTY,CA,72615,57418,2872,214,1567,110,16,1,187
0604100000,MARIN COUNTY,CA,178237,160944,6443,696,3337,25,27,1,161
0604300000,MARIPOSA COUNTY,CA,12099,10853,624,2,287,8,0,8,14
0604500000,MENDOCINO COUNTY,CA,50504,49411,426,38,279,39,0,Data not available,16
0604700000,MERCED COUNTY,CA,128730,97584,3395,153,2338,184,21,11,15
0604900000,MODOC COUNTY,CA,6272,5118,129,31,71,7,0,0,0
0605100000,MONO COUNTY,CA,7463,6628,395,12,106,1,0,Data not available,4
0605300000,MONTEREY COUNTY,CA,241174,187350,2470,2771,208,23,Data not available,Data not available,30
0605500000,NAPA COUNTY,CA,82793,78135,3370,207,2039,54,0,0,76
0605700000,NEVADA COUNTY,CA,77704,68954,5594,3705,1778,42,5,0,64
0605900000,ORANGE COUNTY,CA,1939438,1560111,85681,3141,35488,1315,Data not available,1,0
0606100000,PLACER COUNTY,CA,265243,234732,9878,7,4690,142,16,0,151
0606300000,PLUMAS COUNTY,CA,16224,12480,645,167,384,11,Data not available,Data not available,38
0606500000,RIVERSIDE COUNTY,CA,1417702,1035957,35503,6642,21348,1543,279,97,1131
0606700000,SACRAMENTO COUNTY,CA,958499,765965,28451,1096,17266,1146,0,23,868
0606900000,SAN BENITO COUNTY,CA,34492,30064,1012,4,464,46,0,0,0
0607100000,SAN BERNARDINO COUNTY,CA,1141892,937316,16848,970,13485,1072,14,0,50
0607300000,SAN DIEGO COUNTY,CA,2590432,1767300,49746,8066,37384,1021,Data not available,154,3014
0607500000,SAN FRANCISCO COUNTY,CA,691315,500051,17689,2684,9757,403,13,1,843
0607700000,SAN JOAQUIN COUNTY,CA,417870,344891,12525,1047,8199,552,0,0,324
0607900000,SAN LUIS OBISPO COUNTY,CA,195014,172544,4364,298,3801,90,1,Data not available,15
0608100000,SAN MATEO COUNTY,CA,524642,399351,18126,2474,11016,206,37,42,4150
0608300000,SANTA BARBARA COUNTY,CA,261069,217417,16511,2943,5035,89,5732,0,639
0608500000,SANTA CLARA COUNTY,CA,1172891,885764,38584,6492,16411,1108,Data not available,Data not available,Data not available
0608700000,SANTA CRUZ COUNTY,CA,203077,159499,4925,1650,2985,93,13,0,104
0608900000,SHASTA COUNTY,CA,126630,101782,5626,1107,3225,234,3,18,61
0609100000,SIERRA COUNTY,CA,2335,2190,136,1,57,1,0,0,46
0609300000,SISKIYOU COUNTY,CA,33900,27570,1202,18,865,55,1,0,3
0609500000,SOLANO COUNTY,CA,310678,231510,8960,488,5571,166,4,0,37
0609700000,SONOMA COUNTY,CA,307752,275290,10567,398,6418,82,1,0,329
0609900000,STANISLAUS COUNTY,CA,335549,248466,6067,263,5587,8,2,2,15
0610100000,SUTTER COUNTY,CA,52489,46087,1971,553,1087,9,3,0,63
0610300000,TEHAMA COUNTY,CA,35884,33286,1665,137,1018,25,3,56,218
0610500000,TRINITY COUNTY,CA,8371,7656,365,11,268,2,3,0,0
0610700000,TULARE COUNTY,CA,209464,169367,5598,33,3785,252,35,7,117
0610900000,TUOLUMNE COUNTY,CA,35183,31999,679,95,438,41,1,0,0
0611100000,VENTURA COUNTY,CA,559675,449549,22440,8331,4300,190,2146,0,858
0611300000,YOLO COUNTY,CA,147822,113642,3138,139,2789,67,0,0,20
0611500000,YUBA COUNTY,CA,48054,33754,2484,50,1623,125,68,1,30
0800100000,ADAMS COUNTY,CO,287907,253203,16902,633,4018,555,8658,Does not apply,2967
0800300000,ALAMOSA COUNTY,CO,10418,8748,713,73,190,36,354,Does not apply,58
0800500000,ARAPAHOE COUNTY,CO,430697,373596,28901,3964,5620,677,17229,Does not apply,1386
0800700000,ARCHULETA COUNTY,CO,11172,9199,839,40,152,6,479,Does not apply,161
0800900000,BACA COUNTY,CO,2851,2582,216,13,99,5,75,Does not apply,24
0801100000,BENT COUNTY,CO,3132,2568,147,23,112,8,0,Does not apply,3
0801300000,BOULDER COUNTY,CO,248491,216918,35399,888,2978,126,28590,Does not apply,2807
0801400000,BROOMFIELD COUNTY,CO,52117,45752,3471,304,650,22,1916,Does not apply,577
0801500000,CHAFFEE COUNTY,CO,15516,13464,1039,110,292,11,551,Does not apply,74
0801700000,CHEYENNE COUNTY,CO,1403,1237,94,2,45,2,30,Does not apply,15
0801900000,CLEAR CREEK COUNTY,CO,8248,7035,439,101,102,9,202,Does not apply,24
0802100000,CONEJOS COUNTY,CO,5514,4957,505,8,114,16,336,Does not apply,30
0802300000,COSTILLA COUNTY,CO,2847,2510,366,7,80,4,252,Does not apply,13
0802500000,CROWLEY COUNTY,CO,2238,1993,137,15,54,3,60,Does not apply,5
0802700000,CUSTER COUNTY,CO,4095,3659,326,87,75,0,145,Does not apply,19
0802900000,DELTA COUNTY,CO,22411,20123,2145,55,627,30,1242,Does not apply,190
0803100000,DENVER COUNTY,CO,487762,420695,42049,4516,6587,1441,27383,Does not apply,2027
0803300000,DOLORES COUNTY,CO,1740,1492,112,5,37,3,59,Does not apply,8
0803500000,DOUGLAS COUNTY,CO,252779,226015,13822,2553,2178,85,7693,Does not apply,1298
0803700000,EAGLE COUNTY,CO,36504,31036,1914,118,221,15,1109,Does not apply,451
0803900000,ELBERT COUNTY,CO,20828,18887,1200,158,230,18,615,Does not apply,178
0804100000,EL PASO COUNTY,CO,474607,401237,40368,3985,6316,1067,24261,Does not apply,4661
0804300000,FREMONT COUNTY,CO,31574,27213,1952,137,825,56,866,Does not apply,65
0804500000,GARFIELD COUNTY,CO,37537,32812,2070,145,487,54,1024,Does not apply,359
0804700000,GILPIN COUNTY,CO,5219,4481,309,27,54,3,215,Does not apply,10
0804900000,GRAND COUNTY,CO,12189,10795,922,109,144,6,543,Does not apply,119
0805100000,GUNNISON COUNTY,CO,13983,11490,685,115,120,5,387,Does not apply,57
0805300000,HINSDALE COUNTY,CO,778,690,37,19,15,0,2,Does not apply,1
0805500000,HUERFANO COUNTY,CO,5452,4761,336,48,146,7,128,Does not apply,6
0805700000,JACKSON COUNTY,CO,1234,986,79,1,46,1,31,Does not apply,0
0805900000,JEFFERSON COUNTY,CO,441628,393696,25811,4721,6898,464,12279,Does not apply,1405
0806100000,KIOWA COUNTY,CO,1040,953,56,5,37,0,14,Does not apply,0
0806300000,KIT CARSON COUNTY,CO,5044,4374,326,25,106,9,161,Does not apply,25
0806500000,LAKE COUNTY,CO,5367,4359,871,35,53,3,767,Does not apply,11
0806700000,LA PLATA COUNTY,CO,46073,37665,3107,283,548,50,2032,Does not apply,186
0806900000,LARIMER COUNTY,CO,265458,233575,17601,3405,3579,253,9387,Does not apply,960
0807100000,LAS ANIMAS COUNTY,CO,10989,8845,757,39,244,26,441,Does not apply,7
0807300000,LINCOLN COUNTY,CO,3244,2770,160,7,69,4,61,Does not apply,18
0807500000,LOGAN COUNTY,CO,13109,11266,953,88,324,39,437,Does not apply,64
0807700000,MESA COUNTY,CO,120225,94625,6417,532,2181,340,2817,Does not apply,504
0807900000,MINERAL COUNTY,CO,852,749,69,10,17,0,37,Does not apply,5
0808100000,MOFFAT COUNTY,CO,10231,7782,717,73,143,38,399,Does not apply,64
0808300000,MONTEZUMA COUNTY,CO,20205,16691,1731,135,383,26,1092,Does not apply,93
0808500000,MONTROSE COUNTY,CO,28575,25609,1835,117,594,25,852,Does not apply,242
0808700000,MORGAN COUNTY,CO,16951,15198,921,47,385,32,426,Does not apply,30
0808900000,OTERO COUNTY,CO,12442,10959,796,92,359,21,307,Does not apply,15
0809100000,OURAY COUNTY,CO,4661,3940,242,59,48,1,104,Does not apply,30
0809300000,PARK COUNTY,CO,14978,12894,1179,215,196,14,712,Does not apply,38
0809500000,PHILLIPS COUNTY,CO,3258,2690,199,24,87,7,81,Does not apply,0
0809700000,PITKIN COUNTY,CO,15535,12750,797,75,124,2,468,Does not apply,122
0809900000,PROWERS COUNTY,CO,7449,6264,440,26,192,26,177,Does not apply,19
0810100000,PUEBLO COUNTY,CO,114009,100125,10701,412,2632,445,6663,Does not apply,496
0810300000,RIO BLANCO COUNTY,CO,4597,3935,378,28,83,2,258,Does not apply,7
0810500000,RIO GRANDE COUNTY,CO,8204,6982,567,20,142,12,322,Does not apply,71
0810700000,ROUTT COUNTY,CO,20709,17437,1281,216,202,10,736,Does not apply,114
0810900000,SAGUACHE COUNTY,CO,4473,3801,423,27,81,7,287,Does not apply,20
0811100000,SAN JUAN COUNTY,CO,747,590,54,4,8,1,38,Does not apply,2
0811300000,SAN MIGUEL COUNTY,CO,6574,5427,307,29,23,0,216,Does not apply,37
0811500000,SEDGWICK COUNTY,CO,1843,1562,108,24,54,2,27,Does not apply,1
0811700000,SUMMIT COUNTY,CO,27398,19915,1385,275,140,6,825,Does not apply,134
0811900000,TELLER COUNTY,CO,20584,17310,1351,322,250,20,684,Does not apply,74
0812100000,WASHINGTON COUNTY,CO,3408,3058,170,29,80,5,50,Does not apply,4
0812300000,WELD COUNTY,CO,196414,173087,9576,1555,2783,331,4557,Does not apply,342
0812500000,YUMA COUNTY,CO,6096,5482,467,44,166,14,230,Does not apply,12
0900104720,BETHEL TOWN,CT,13148,12642,787,512,91,6,1,Data not available,145
0900108070,BRIDGEPORT TOWN,CT,75336,72656,1949,528,464,294,1,Data not available,311
0900108980,BROOKFIELD TOWN,CT,12563,12120,489,13,58,0,0,Data not available,391
0900118500,DANBURY TOWN,CT,42967,41138,1755,652,298,28,2,Data not available,721
0900118850,DARIEN TOWN,CT,14796,13813,982,264,67,1,0,Data not available,641
0900123890,EASTON TOWN,CT,5965,5700,253,159,14,2,0,Data not available,71
0900126620,FAIRFIELD TOWN,CT,43631,38684,2019,486,278,5,0,Data not available,958
0900133620,GREENWICH TOWN,CT,42066,38467,1582,522,233,0,0,Data not available,639
0900148620,MONROE TOWN,CT,13674,13286,528,244,60,3,44,Data not available,127
0900150580,NEW CANAAN TOWN,CT,15349,14235,1033,310,89,0,169,Data not available,450
0900150860,NEW FAIRFIELD TOWN,CT,10759,10201,521,244,50,1,3,Data not available,208
0900152980,NEWTOWN TOWN,CT,19639,17848,1479,436,122,1,0,Data not available,903
0900156060,NORWALK TOWN,CT,55431,53641,2583,1022,368,33,466,Data not available,151
0900163480,REDDING TOWN,CT,7740,7173,412,273,66,0,0,Data not available,63
0900163970,RIDGEFIELD TOWN,CT,19757,18717,881,219,113,1,2,Data not available,516
0900168170,SHELTON TOWN,CT,26332,25202,2928,324,193,7,1886,Data not available,479
0900168310,SHERMAN TOWN,CT,2651,2616,391,99,9,2,244,Data not available,11
0900173070,STAMFORD TOWN,CT,74973,71314,3888,2149,496,43,0,Data not available,1061
0900174190,STRATFORD TOWN,CT,36687,36147,1111,487,280,20,15,Data not available,216
0900177200,TRUMBULL TOWN,CT,27043,26345,1170,336,216,3,1,Data not available,561
0900183430,WESTON TOWN,CT,7570,6899,494,137,27,0,0,Data not available,311
0900183500,WESTPORT TOWN,CT,20407,18835,1000,346,111,2,0,Data not available,381
0900186370,WILTON TOWN,CT,13585,13053,848,622,64,0,1,Data not available,143
0900302060,AVON TOWN,CT,14081,13209,696,531,83,0,1,Data not available,64
0900304300,BERLIN TOWN,CT,14862,14277,452,11,128,2,0,Data not available,286
0900305910,BLOOMFIELD TOWN,CT,15585,14886,611,201,177,15,0,Data not available,197
0900308490,BRISTOL TOWN,CT,36923,35339,1860,654,323,28,523,Data not available,253
0900310100,BURLINGTON TOWN,CT,6722,6327,550,470,26,1,0,Data not available,47
0900312270,CANTON TOWN,CT,8082,7727,328,120,48,1,7,Data not available,142
0900322070,EAST GRANBY TOWN,CT,3920,3769,174,49,9,0,10,Data not available,100
0900322630,EAST HARTFORD TOWN,CT,31074,29924,536,212,44,28,0,Data not available,190
0900324800,EAST WINDSOR TOWN,CT,8685,8497,397,163,104,0,100,Data not available,25
0900325990,ENFIELD TOWN,CT,26549,24297,829,316,242,7,1,Data not available,224
0900327600,FARMINGTON TOWN,CT,20303,19592,903,204,150,1,0,Data not available,486
0900331240,GLASTONBURY TOWN,CT,25463,23871,1024,491,157,2,0,Data not available,346
0900332640,GRANBY TOWN,CT,8328,7754,415,92,53,1,0,Data not available,251
0900337070,HARTFORD TOWN,CT,65726,60391,1193,477,139,199,50,Data not available,107
0900337140,HARTLAND TOWN,CT,1622,1538,79,26,19,1,0,Data not available,28
0900344700,MANCHESTER TOWN,CT,35132,31497,1231,359,311,18,0,Data not available,384
0900345820,MARLBOROUGH TOWN,CT,4598,4356,187,105,31,0,0,Data not available,44
0900350440,NEW BRITAIN TOWN,CT,36516,31169,1019,215,312,79,1,Data not available,299
0900352140,NEWINGTON TOWN,CT,20734,19268,741,385,84,11,1,Data not available,223
0900360120,PLAINVILLE TOWN,CT,12167,11963,376,187,85,0,0,Data not available,55
0900365370,ROCKY HILL TOWN,CT,13059,12688,474,190,132,2,0,Data not available,128
0900368940,SIMSBURY TOWN,CT,19308,18502,1016,637,97,2,209,Data not available,45
0900370550,SOUTHINGTON TOWN,CT,30390,29318,813,175,163,8,14,Data not available,418
0900371390,SOUTH WINDSOR TOWN,CT,17854,16609,1257,218,212,4,378,Data not available,409
